title,url,category,published_at,summary,body,word_count,scraped_at
"Stage set for biggest edition of ICC Women's T20 World Cup; 12 teams in race",https://newsonair.gov.in/2026-fifa-world-cup-begins-today-across-united-states-canada-and-mexico/,sports,"June 11, 2026 5:45 PM","The 10th edition of the ICC Women's T20 Cricket World Cup will begin from tomorrow, with hosts England taking on Sri Lanka in the opening match of the tournament...","The 10th edition of the ICC Women's T20 Cricket World Cup will begin from tomorrow, with hosts England taking on Sri Lanka in the opening match of the tournament at Edgbaston, Birmingham. The month-long tournament will be hosted across England and Wales with the final set to take place on July 5 at Lord's Cricket Ground.",58,2026-06-11T00:00:00+00:00
"Australian Open Badminton: Sindhu & Tanvi advance to Women's Singles quarterfinals",https://newsonair.gov.in/category/sports/,sports,"June 11, 2026 3:48 PM","PV Sindhu and Tanvi Sharma advanced to the Women's Singles quarterfinals of the Australian Open in Sydney.","In Badminton, PV Sindhu and Tanvi Sharma advanced to the Women's Singles quarterfinals of the Australian Open in Sydney. Sindhu defeated compatriot Isharani Baruah in the Round of 16.",29,2026-06-11T00:00:00+00:00
"2026 FIFA World Cup kicks off at Estadio Azteca in Mexico City",https://newsonair.gov.in/category/sports/,sports,"June 11, 2026 5:13 PM","Sports fans across the world are set for a month-long football spectacle as the 2026 FIFA World Cup begins.","Sports fans across the world are set for a month-long football spectacle as the 2026 FIFA World Cup kicks off at the historic Estadio Azteca in Mexico City.",28,2026-06-11T00:00:00+00:00
